,question,A,B,C,D,truth
11,労働基準法を説明したものはどれか。,生活の安定、労働力の質的向上のために最低の賃金を保障した法律。,短時間労働者の福祉の増進を目的に定められた法律。,必要な技術をもった労働者を企業に派遣する事業に関しての法律。,労働時間、休息、休暇など労働条件の最低ラインを定めた法律。,D
12,個人情報取扱事業者であるX社は、自社製品の販売促進のための個人顧客向けセミナーを開催し、最後に参加者に対してアンケートを実施した。アンケート用紙には、個人情報の利用目的は今後の自社製品に関する案内であることを明示し、顧客の氏名、住所、電話番号、案内希望の要・不要を表記した。個人情報保護法に照らして、違法となるX社の行為はどれか。,回収したアンケート用紙から顧客リストを作成し、製品に関連する案内を希望している顧客に対してダイレクトメールを発送した。,回収したアンケート用紙とセミナー実施後に作成した顧客リストは、必要時以外は鍵付きロッカーに保管する措置をとった。,関連会社であるY社の製品の販売促進のために、X社独自の判断で回収したアンケート用紙から作成した顧客リストをY社に手渡しした。,製品に関する案内を希望している顧客から住所変更の連絡があったので、本人であること、案内の継続希望を確認した上で、顧客リストを訂正した。,C
13,システムの利用者に対するサービスレベルを評価するための項目として、適切なものはどれか。,システム開発にかかったコスト,システム障害からの回復時間,システムを構成するプログラム本数,ディスク入出力の回数,B
14,無停電電源装置（UPS）の導入に関する記述として、適切なものはどれか。,UPSに最優先で接続すべき装置は、各PCが共有しているネットワークプリンタである。,UPSの容量には限界があるので、電源異常を検出した後、数分以内にシャットダウンを実施する対策が必要である。,UPSは発電機能をもっているので、コンピュータだけでなく、照明やテレビなども接続すると効果的である。,UPSは半永久的に使用できる特殊な蓄電池を用いているので、導入後の保守費用は不要である。,B
15,システム監査の手順を実施順に並べたものはどれか。,計画、調査、報告,原因調査、修正、テスト,設計、プログラミング、テスト,要件定義、提案依頼、提案評価,A
16,社員の不正を抑止するための内部統制にあたるものはどれか。,企業の情報セキュリティ方針をインターネットで公表する。,作業の実施者と承認者を分ける。,地域活性化に貢献するために、市町村の催しなどの後援企業となる。,発覚した不祥事によって企業イメージが悪化することを避けるために、マスコミ対策をとる。,B
17,SWOT分析は、企業戦略立案の際に、機会と脅威、強みと弱みを検討する分析手法である。強みと弱みの評価の対象となるものはどれか。,競合する企業の数,自社の商品価格,ターゲットとしている市場の伸び,日本経済の動向,B
18,ワントゥワンマーケティングを説明したものはどれか。,市場シェアから企業の地位を想定し、その地位に合った活動を行う。,市場という集団を対象とするのではなく、個々の顧客ニーズに個別に対応する。,セグメントとのニーズに合った製品やマーケティングミックスを展開する。,単一製品を、すべての顧客を対象に大量生産・大量流通させる。,B
19,バランススコアカードの視点は、財務、顧客、業務プロセスと、もう1つはどれか。,学習と成長,コミュニケーション,製品,強み,A
20,SCMを説明したものはどれか。,顧客に関係する部門が情報共有しながら、顧客とのやりとりを一環して管理することで、顧客との関係を強化し、企業収益の向上に結びつけていく手法である。,個々の社員がビジネス活動から得た客観的な知識や経験・ノウハウなどを、ネットワークによって企業全体の知識として共有化する手法である。,販売、生産、会計、人事などの業務で発生するデータを統合データベースで一元管理し、各業務部門の情報をリアルタイムに把握するための手法である。,部品の調達から製造、流通、販売に至る一連のプロセスに参加する部門と企業間で情報を共有・管理することで、業務プロセスの全体最適化を目指す手法である。,D
21,技術開発戦略の立案に必要となる将来の技術動向の予測などに用いられる技法であり、複数の専門家からの意見収集、得られた意見の統計的集約、集約された意見のフィードバックを繰り返して意見を収束していくものはどれか。,シナリオライティング,デルファイ法,ブレーンストーミング,ロールプレイング,B
22,トレーサビリティシステムの特徴はどれか。,医療診断などの専門的知識を必要とする分野で、専門的知識をデータベース化、または、プログラム化してコンピュータに解決策を推理させる。,小売店の店頭で欠品が起こらないように、逐次ハンディターミナルから発注情報を取引先に伝達する。,食品などの生産・流通にかかわる履歴情報を消費点から生産点にさかのぼって追跡できる。,対話形式で、非定型的な経営上の問題解決のための意志決定を支援する。,C
23,EC（electronic commerce）の形態のうち、BtoCに該当するものはどれか。,Web-EDIを利用して、企業が外部ベンダに資材を発注する。,企業内の社員販売サイトで、割引特典のあるサービスを申し込む。,国や自治体が発注する工事に対して、企業が電子入札を行う。,バーチャルモールのオンラインショップで書籍を購入する。,D
24,プロジェクト計画書に記述するものはどれか,画面レイアウト,業務フロー,スケジュール,プログラム構造,C
25,あるソフトウェア開発の仕事をAさんが1人で作業すれば24日、Bさんが1人で作業をすれば12日かかる。2人で作業を行う場合には、1日の全作業時間の25％が打ち合わせに必要となる。2人で作業をした場合、開発を完了するのに何日かかるか。,6,8,11,12,C
